name,populacao
Aerolândia,11.360
Aeroporto,8.618
Aldeota,42.361
Alto da Balança,12.814
Álvaro Weyne,23.690
Amadeo Furtado,11.703
Ancuri,20.070
Antônio Bezerra,25.846
Arraial Moura Brasil,3.765
Autran Nunes,21.208
Barra do Ceará,72.423
Barroso,29.847
Bela Vista,16.754
Benfica,12.954
Boa Vista,12.247
Bom Futuro,6.405
Bom Jardim,37.758
Bonsucesso,41.198
Cais do Porto,22.382
Cajazeiras,14.478
Cambeba,7.625
Canindezinho,41.202
Carlito Pamplona,29.076
Centro,28.538
Cidade 2000,8.272
Cidade dos Funcionários,18.256
Coaçu,7.188
Cocó,20.492
Conjunto Ceará I,19.221
Conjunto Ceará II,23.673
Conjunto Esperança,16.405
Conjunto Palmeiras,36.599
Couto Fernandes,5.260
Cristo Redentor,26.717
Curió,7.636
Damas,10.719
De Lourdes,3.370
Demócrito Rocha,10.994
Dendê,5.637
Dias Macêdo,12.111
Dionísio Torres,15.634
Dom Lustosa,13.147
Edson Queiroz,22.210
Farias Brito,12.063
Fátima,23.309
Floresta,28.896
Genibaú,40.336
Granja Lisboa,52.042
Granja Portugal,39.651
Guajerú,6.668
Guararapes,5.266
Henrique Jorge,26.994
Itaoca,12.477
Itaperi,22.563
Jacarecanga,14.204
Jangurussu,50.479
Jardim América,12.264
Jardim Cearense,10.103
Jardim das Oliveiras,29.571
Jardim Guanabara,14.919
Jardim Iracema,23.184
João XXIII,18.398
Joaquim Távora,23.450
Jóquei Clube,19.331
José Bonifácio,8.848
José de Alencar,16.003
Lagoa Redonda,27.949
Luciano Cavalcante,15.543
Manoel Sátiro,37.952
Manuel Dias Branco,1.447
Maraponga,10.155
Meireles,36.982
Messejana,41.689
Mondubim,76.044
Monte Castelo,13.215
Montese,25.970
Mucuripe,13.747
Padre Andrade,12.936
Pan Americano,8.815
Papicu,18.370
Parangaba,30.947
Parque Araxá,6.715
Parque Dois Irmãos,27.236
Parque Iracema,8.409
Parque Manibura,7.529
Parque Presidente Vargas,7.192
Parque Santa Maria,0
Parque Santa Rosa,12.790
Parque São José,10.486
Parquelândia,14.432
Parreão,11.072
Passaré,50.940
Paupina,14.665
Pedras,1.342
Pici,42.494
Pirambú,17.775
Planalto Ayrton Senna,39.446
Praia de Iracema,3.130
Praia do Futuro I,6.630
Praia do Futuro II,11.957
Prefeito José Valter,33.427
Presidente Kennedy,23.004
Quintino Cunha,47.277
Rodolfo Teófilo,19.114
Sabiaguaba,2.117
Salinas,4.298
São Bento,11.964
São Gerardo,14.505
São João do Tauape	27.598
Sapiranga/Coité,32.158
Serrinha,28.770
Siqueira,33.628
Varjota,8.421
Vila Ellery,7.863
Vila Pery,20.645
Vila União,15.378
Vila Velha,61.617
Vicente Pinzon,45.518
